# Manual word translations:

estaba	war
á	zu
á	nach
á	an
á	bis
agonizaba	lag im Sterben
selvas	Dschungel
selvas	Urwald
mirada de reojo	Seitenblick
penosamente	schmerzlich
daba	gab
es	ist
eres	bist
eres	sind
huye	flieht
huye	weglaufen
decía	sagte
decía	genannt
pretendas	vorgeben
pretendas	tun als ob
domínalos	beherrschen
castígalos	bestrafen
devóralos	verschlingen
tienes	haben
daría	geben
daría	würde geben
puedes	dürfen
puedes	können
the	die
the	der
the	das
project	Projekt
project	Vorhaben
project	Projektleitung
project	Projektträger
gutenberg	Guten Tag
gutenberg	Gutenberg
of	von
of	aus
of	vom
of	von der
spanish	Englisch
spanish	Spanisch
spanish	Deutsch
spanish	Spanien
for	für
for	für die
beginners	Anfänger
beginners	Anfang
beginners	Einsteiger
beginners	Anfangs
this	Das
this	Das hier
this	Das..
use	verwendung
use	anwendung
use	nutzung
use	anwendungsbereich
anyone	niemand
anyone	jeder
anyone	jedermann
anywhere	überall
anywhere	irgendwo
in	in
in	im
in	in der
in	in einem
united	Vereinigte Staaten
united	Vereinigtes Königreich
united	Vereinigtes
united	USA
states	Staaten
states	Mitgliedstaaten
states	Länder
and	und
and	sowie
most	am
most	am meisten
most	die
other	andere
other	sonstige
other	anderer
parts	teile
parts	teile und zubehör
parts	teile von
parts	teile und teile davon
world	welt
world	weltweit
world	weltraum
at	bei
at	bei der
at	in
at	in der
cost	kosten
cost	kosten und kosten
with	mit
with	mit einem gehalt an
with	mit einem quadratmetergewicht von
almost	fast
restrictions	beschränkungen
restrictions	einschränkungen
whatsoever	was
whatsoever	was ist los
whatsoever	wann immer
you	Du
you	Sie
you	Du..
may	mai
may	vielleicht
may	kann
copy	kopie
copy	kopien
copy	kopieren
it	es
it	es ist
it	sie/sie
give	geben
give	geben sie
away	weg
or	oder
or	und
or	oder aber
re-use	wiederverwendung
re-use	wiederverwertung
re-use	wiederbenutzung
under	unter
under	unter verwendung von
under	unter verwendung
terms	begriff
terms	bezeichnung
terms	bedingungen
license	Lizenz
license	Lizenzierung
license	Lizenzen
included	inklusive
included	einschließlich
included	inbegriffen
included	enthalten
www	www
www	www.europa.eu
org	oder
org	chlor
org	g
org	chlorid
if	Wenn
if	Falls
are	werden
are	sind
are	werdet
not	nein
not	nicht
located	liegeplatz
located	befindet sich
located	sitz
located	standort
will	wird
will	werden
will	will
will	werdest
have	haben
have	habe
have	werden
check	überprüfen
check	überprüfung
check	check
laws	gesetze
laws	rechtsvorschriften
laws	gesetz
laws	rechtsstaat
country	land
country	länder
country	mitgliedstaat
country	ländern
where	wenn
where	wobei
where	wo
before	vor
before	vorher
using	verwendung
using	anwendung
using	nutzung
title	Titel
title	Bezeichnung
title	Artikel
title	Titel:
c	C
c	C..
hills	Hügel
hills	Berge
hills	Hills
contributor	Beitrag
contributor	Beiträge
contributor	Mitarbeiter
louise	Louise
louise	Louis
reinhardt	Reinhardt
reinhardt	Reinhard
release	Entspann dich
release	Entspannen Sie sich
release	Release
release	Veröffentlichung
date	datum
date	zeitpunkt
july	Juli
july	Juli 2017
july	Juli 2016
21	ANHANG
21	L 347 vom 20.12.2013, S. 1)
21	L 347 vom 20.12.2013, S. 671
21	L 347 vom 20.12.2013, S. 21)
2011	2011
2011	2011:
2011	2011, 2011
36805	36805
36805	ANHANG
36805	L 347 vom 20.12.2013, S. 1)
language	Sprache
language	Sprachen
language	Sprache:
credits	Kredite
credits	Einnahmen
credits	Credits
produced	Produziert
produced	Hergestellt
produced	Produktion
produced	Herstellung
by	von
by	durch
by	von:
by	von der
chuck	Chuck
chuck	Chuck..
greif	Griechenland
greif	Griechisch
greif	Greifen Sie auf
greif	Greifen Sie zu
distributed	Verteilt
distributed	Verteilung
distributed	Verteilen
distributed	Vertrieben
proofreading	Angebot
proofreading	Ausschreibung
proofreading	Angebote
proofreading	Bereitstellung
team	Team
team	Teams
team	Teamteam
team	Teammitglieder
pgdp	pgdp
pgdp	pgd
net	netto
net	nettogewicht
net	nettogewinn
net	nettowert
book	buch
book	buchführung
book	bücher
book	buchen
from	von
from	aus
from	von der
from	aus der
scanned	gescannt
scanned	abgetastet
images	bilder
images	bilder und fotos
images	bilder von bildern
public	öffentlichkeit
public	öffentliche
public	öffentlich zugänglich
domain	gebiet
domain	domain
domain	domäne
domain	dominant
print	Drucken
print	Druck
print	Druck auf Druck
start	Start
start	Beginn
start	Starten
start	Anfang
edited	Bearbeitet
edited	Bearbeiten
edited	Editiert
vocabulary	Vokabeln
vocabulary	Vokabel
vocabulary	Wortschatz
elijah	Elijah
elijah	Elia
elijah	Elija
clarence	Clarence
clarence	Klärung
clarence	Klarheit
clarence	Clare
d	D
d	D I
d	D. D
litt	Lit
